#     x        y        z     r_vir   v_x      v_y      v_z 
#-----------------------------------------------------------
#    kpc      kpc      kpc     kpc    km/s     km/s     km/s
#-----------------------------------------------------------
   1148.19   598.77  -699.51   16.   396.2    194.4  -249.40
   1143.49   922.47  -303.10   20.   452.4    341.0  -159.20
   1161.73   446.26   820.10   17.   454.8    165.9   339.20
   1158.30   554.37  -728.86   19.   411.4    212.9  -234.10
   1169.54   -43.05  -455.84   13.   401.5    -64.6  -176.70
   1215.59   -96.16  -618.23   21.   465.3    -15.5  -149.20
   1230.85  -328.47   103.43   10.   406.0   -120.0    -0.90
   1272.55  -139.11  -431.93   25.   447.1    -20.3  -145.80
   1272.81   -74.56  -547.32   25.   428.2    -31.8  -157.80
   1293.12  -362.67  -140.67   19.   467.3   -132.0   -82.70
   1309.91  -393.51  -204.47   18.   411.0   -111.5   -38.60
   1341.28   -89.49  -436.08   19.   416.9    -68.5  -166.30
   1354.71  -314.55  -133.20   28.   449.9   -132.8   -71.10
